"","ppt","no","yes","stroop_effect","group","test"
"1","A01",0.983713889055556,0.732182857428571,0.251531031626984,"control","post"
"2","A02",0.764170000433333,0.702879166541667,0.0612908338916667,"control","post"
"3","A03",0.881996428071429,0.724307692615385,0.157688735456044,"control","post"
"4","A04",1.14373888905556,0.948638235882353,0.195100653173203,"control","post"
"5","A05",1.13719062375,0.965136363121212,0.172054260628788,"control","post"
"6","A06",1.06423142762857,0.866593939606061,0.197637488022511,"control","post"
"7","A07",1.16382424209091,1.06085333226667,0.102970909824242,"control","post"
"8","B01",0.7705057134,0.681129412294118,0.0893763011058823,"control","post"
"9","B02",0.815765714257143,0.682619444472222,0.133146269784921,"control","post"
"10","B03",0.810163888666667,0.730094444472222,0.0800694441944444,"control","post"
"11","B04",0.995033333969697,0.9904200002,0.00461333376969697,"control","post"
"12","B05",0.939615151878788,0.761385713535714,0.178229438343074,"control","post"
"13","B06",1.2245133333,0.988200000413793,0.236313332886207,"control","post"
"14","B07",0.932923333233333,0.79294374884375,0.139979584389583,"control","post"
"15","SO1",0.711311111055556,0.712244116794118,-0.000933005738562143,"control","post"
"16","A01",1.09047272669697,0.859285294558824,0.231187432138146,"control","pre"
"17","A02",0.973603333266667,0.841964285464286,0.131639047802381,"control","pre"
"18","A03",0.916961111527778,0.905955881823529,0.0110052297042484,"control","pre"
"19","A04",1.27992857242857,1.06752187490625,0.212406697522321,"control","pre"
"20","A05",1.08739285642857,0.99218888937037,0.0952039670582011,"control","pre"
"21","A06",1.28279666806667,1.04984705767647,0.232949610390196,"control","pre"
"22","A07",1.34148387148387,1.22882580516129,0.112658066322581,"control","pre"
"23","B01",0.847324999916667,0.757686111777778,0.0896388881388889,"control","pre"
"24","B02",1.01828055527778,0.841991666861111,0.176288888416667,"control","pre"
"25","B03",1.02001999962857,0.870691666527778,0.149328333100794,"control","pre"
"26","B04",1.22345185185185,1.06462580645161,0.158826045400239,"control","pre"
"27","B05",1.13007714205714,0.884650000208333,0.24542714184881,"control","pre"
"28","B06",1.42254074148148,1.19878333283333,0.223757408648148,"control","pre"
"29","B07",1.17771515269697,1.00111515139394,0.17660000130303,"control","pre"
"30","SO1",0.933213887916667,0.846805882088235,0.0864080058284314,"control","pre"
"31","A10",0.85954375075,0.783794117205882,0.0757496335441177,"treatment","post"
"32","B08",0.733458064709677,0.67503749975,0.0584205649596774,"treatment","post"
"33","B09",0.811226922576923,0.71839600008,0.092830922496923,"treatment","post"
"34","B10",0.90714722225,0.793711111027778,0.113436111222222,"treatment","post"
"35","B11",0.903023529352941,0.740000000451613,0.163023528901328,"treatment","post"
"36","B12",1.13775666683333,0.924181480666667,0.213575186166667,"treatment","post"
"37","B13",0.9123514284,0.78276551762069,0.12958591077931,"treatment","post"
"38","J01",0.825849999966667,0.685546428428571,0.140303571538095,"treatment","post"
"39","J02",0.876879999628571,0.71561739226087,0.161262607367702,"treatment","post"
"40","J03",0.903432258903226,0.793632257225806,0.109800001677419,"treatment","post"
"41","J04",0.834371428514286,0.668678787727273,0.165692640787013,"treatment","post"
"42","J05",1.06657352808824,0.826315626125,0.240257901963235,"treatment","post"
"43","S02",0.94993103337931,0.678604166333333,0.271326867045977,"treatment","post"
"44","A08",0.92877500003125,0.812638709548387,0.116136290482863,"treatment","pre"
"45","A10",0.961694285514286,0.7961800008,0.165514284714286,"treatment","pre"
"46","B08",0.761511427942857,0.682353846538462,0.0791575814043955,"treatment","pre"
"47","B09",0.91897419416129,0.781160870521739,0.137813323639551,"treatment","pre"
"48","B10",1.18139166730556,1.04422499969444,0.137166667611111,"treatment","pre"
"49","B11",0.962133333611111,0.822097142228571,0.14003619138254,"treatment","pre"
"50","B12",1.03593428602857,0.792000000193548,0.243934285835023,"treatment","pre"
"51","B13",1.11621666636667,0.908941378344828,0.207275288021839,"treatment","pre"
"52","J01",1.067630555,0.822591176441177,0.245039378558824,"treatment","pre"
"53","J02",1.01300285751429,0.782235483741936,0.23076737377235,"treatment","pre"
"54","J03",1.02345294073529,0.897772222111111,0.125680718624183,"treatment","pre"
"55","J04",0.945297222111111,0.801463888527778,0.143833333583333,"treatment","pre"
"56","J05",1.27363928728571,1.14733823561765,0.126301051668067,"treatment","pre"
"57","S02",1.03827428508571,0.87250625040625,0.165768034679464,"treatment","pre"
"58","ao2",0.866032352941177,0.776609375,0.0894229779411765,"treatment","pre"
